model_name,model_id,synonyms,model_type,growth_properties,doi,pmed,model_treatment,model_comments,msi_status,mutational_burden,ploidy,parent_id,mutation_data,methylation_data,expression_data,cnv_data,crispr_ko_data,drug_data,sample_id,tissue,tissue_status,cancer_type,cancer_type_detail,age_at_sampling,sampling_day,sampling_month,sampling_year,sample_treatment,sample_treatment_details,sample_site,tnm_t,tnm_n,tnm_m,tnm_integrated,tumour_grade,patient_id,species,gender,ethnicity,smoking_status,model_relations_comment,COSMIC_ID,BROAD_ID,CCLE_ID,RRID,suppliers
639-V,SIDM00999,,Cell Line,Adherent,,,,,MSS,49.56666667,2.406085668,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00445,Bladder,Tumour,Bladder Carcinoma,"('Bladder Carcinoma  (C4912)',)",69,,,1973,Unknown,,Left ureter,,,,,,SIDP00382,Homo Sapiens,Male,White,Unknown,,906798,ACH-000973,639V_URINARY_TRACT,CVCL_1048,DSMZ:ACC-413
647-V,SIDM00983,,Cell Line,Adherent,,,,,MSS,13.73333333,2.502375099,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00446,Bladder,Tumour,Bladder Carcinoma,"('Bladder Carcinoma  (C4912)',)",,,,,Unknown,,Unknown,,,,,,SIDP00383,Homo Sapiens,Male,Unknown,Unknown,,906797,ACH-000896,647V_URINARY_TRACT,CVCL_1049,DSMZ:ACC-414
769-P,SIDM00803,,Cell Line,Adherent,,,,,MSS,6.466666667,1.96979785,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00061,Kidney,Tumour,Kidney Carcinoma,"('Clear Cell Renal Cell Carcinoma  (C4033)',)",63,,,1975,Unknown,,Kidney,,,,,,SIDP00047,Homo Sapiens,Female,White,Unknown,,910922,ACH-000411,769P_KIDNEY,CVCL_1050,ATCC:CRL-1933
786-0,SIDM00125,786-O;786-O RCC;RCC 786-O;RCC_7860;786-0WT,Cell Line,Adherent,,,,,MSS,7.1,3.817733209,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00812,Kidney,Tumour,Kidney Carcinoma,"('Renal Cell Carcinoma  (C9385)',)",58,,,,Unknown,,Unknown,,,,,,SIDP00725,Homo Sapiens,Male,White,Unknown,,905947,ACH-000649,786O_KIDNEY,CVCL_1051,NCI:786-0
8-MG-BA,SIDM00998,,Cell Line,Adherent,,,,,MSS,6,2.197484787,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00447,Central Nervous System,Tumour,Glioblastoma,"('Glioblastoma  (C3058)',)",54,,,1989,None,,Frontal Brain lobe,,,,,,SIDP00384,Homo Sapiens,Female,Unknown,Unknown,,687562,ACH-000137,8MGBA_CENTRAL_NERVOUS_SYSTEM,CVCL_1052,DSMZ:ACC-432
8305C,SIDM00997,8305C_1,Cell Line,Adherent,,,,,MSS,10.06666667,3.094779312,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00448,Thyroid,Tumour,Thyroid Gland Carcinoma,"('Anaplastic Thyroid Carcinoma  (C3878)',)",67,,,,Unknown,,Thyroid,,,,,,SIDP00385,Homo Sapiens,Female,Unknown,Unknown,,906795,ACH-001306,8305C_THYROID,CVCL_1053,JCRB:JCRB0824
8505C,SIDM00996,,Cell Line,Adherent,,,,,MSS,8.466666667,3.000859437,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00449,Thyroid,Tumour,Thyroid Gland Carcinoma,"('Anaplastic Thyroid Carcinoma  (C3878)',)",78,,,,Unknown,,Thyroid,,,,,,SIDP00386,Homo Sapiens,Female,Unknown,Unknown,,924102,ACH-001307,8505C_THYROID,CVCL_1054,JCRB:JCRB0826
A101D,SIDM00801,,Cell Line,Adherent,,,,,MSS,5.266666667,2.522666899,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00063,Skin,Tumour,Melanoma,"('Melanoma  (C3224)',)",56,,,,Unknown,,Skin,,,,,,SIDP00049,Homo Sapiens,Male,White,Unknown,Hs-294-T and A101D were isolated from the same donor tissue (ATCC).,910921,ACH-000008,A101D_SKIN,CVCL_1057,ATCC:CRL-7898
A172,SIDM00799,A-172 MG,Cell Line,Adherent,,,,,MSS,8.433333333,3.456949527,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00065,Central Nervous System,Tumour,Glioblastoma,"('Glioblastoma  (C3058)',)",53,,,,Unknown,,Brain,,,,,,SIDP00050,Homo Sapiens,Male,Unknown,Unknown,,687563,ACH-000558,A172_CENTRAL_NERVOUS_SYSTEM,CVCL_0131,ATCC:CRL-1620
A204,SIDM00798,,Cell Line,Adherent,,,,,MSS,4.1,1.974949934,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00066,Soft Tissue,Tumour,Rhabdomyosarcoma,"('Embryonal Rhabdomyosarcoma  (C8971)',)",1,,,,Unknown,,Muscle,,,,,,SIDP00051,Homo Sapiens,Female,Unknown,Unknown,,910784,ACH-000201,A204_SOFT_TISSUE,CVCL_1058,ATCC:HTB-82
A2058,SIDM00797,,Cell Line,Adherent,,,,,MSS,12.36666667,2.12860247,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00067,Skin,Metastasis,Melanoma,"('Amelanotic Melanoma  (C3802)',)",43,,,,Unknown,,Lymph node,,,,,,SIDP00052,Homo Sapiens,Male,White,Unknown,,906792,ACH-000788,A2058_SKIN,CVCL_1059,ATCC:CRL-11147
A253,SIDM00796,,Cell Line,Adherent,,,,,MSS,11.43333333,2.770921796,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00068,Head and Neck,Tumour,Head and Neck Carcinoma,"('Salivary Gland Squamous Cell Carcinoma  (C7991)',)",54,,,,Unknown,,Submaxillary salivary gland,,,,,,SIDP00053,Homo Sapiens,Male,White,Unknown,,906794,ACH-000740,A253_SALIVARY_GLAND,CVCL_1060,ATCC:HTB-41
A2780,SIDM00210,A2780S,Cell Line,Adherent,,,,,MSS,12.66666667,2.000944743,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00590,Ovary,Tumour,Ovarian Carcinoma,"('Ovarian Endometrioid Adenocarcinoma  (C7979)',)",,,,,Unknown,,Unknown,,,,,,SIDP00522,Homo Sapiens,Female,Unknown,Unknown,"A2780cis is a cisplatin resistant subclone of A2780.
A2780ADR is an adriamycin resistant subclone of A2780 (ECACC).",906804,ACH-000657,A2780_OVARY,CVCL_0134,ICLC:HTL98008
A2780ADR,SIDM01211,,Cell Line,Adherent,,,,,,,,SIDM00210,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,SIDS00590,Ovary,Tumour,Ovarian Carcinoma,"('Ovarian Endometrioid Adenocarcinoma  (C7979)',)",,,,,Unknown,,Unknown,,,,,,SIDP00522,Homo Sapiens,Female,Unknown,Unknown,"A2780cis is a cisplatin resistant subclone of A2780.
A2780ADR is an adriamycin resistant subclone of A2780 (ECACC).",,,,,ECACC:93112520
A2780cis,SIDM01212,,Cell Line,Adherent,,,,,,,,SIDM00210,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,SIDS00590,Ovary,Tumour,Ovarian Carcinoma,"('Ovarian Endometrioid Adenocarcinoma  (C7979)',)",,,,,Unknown,,Unknown,,,,,,SIDP00522,Homo Sapiens,Female,Unknown,Unknown,"A2780cis is a cisplatin resistant subclone of A2780.
A2780ADR is an adriamycin resistant subclone of A2780 (ECACC).",,,,,ECACC:93112517
A3,SIDM01243,,Cell Line,Suspension,,,,,,,,SIDM01016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00539,Haematopoietic and Lymphoid,Tumour,T-Lymphoblastic Leukemia,"('Childhood Precursor T Lymphoblastic Leukemia  (C7953)',)",14,,,1976,Unknown,,Peripheral Blood,,,,,,SIDP00474,Homo Sapiens,Male,Unknown,Unknown,"J-RT3-T3-5 is a derivative mutant of the Jurkat subclone Jurkat-Clone-E61 that lacks the beta chain of the T cell antigen receptor (ATCC).
A3 is a wild-type A3 subclone of Jurkat generated through treatment with Fas Antibody and is very sensitive to Fas-mediated apoptosis (ATCC).
I-9-2 and I-2-1 are subclones of A3 generated by treating A3 clone with ICR-191 (frameshifting mutagen) in the presence of Fas Antibody for 3-5 weeks (ATCC).
I-9-2 has a mutation in the cysteine protease caspase-8/FLICE (ATCC).
I-2-1 has amutation in the adaptor FADD (ATCC).
Jurkat-Clone-E61 is a clone of Jurkat-FHCRC which is itself a derivative of the Jurkat cell line (ATCC).
JKT-beta-del is a derivative of Jurkat isolated by cell sorting and lacks the surface expression of the T-cell receptor alpha/beta/CD3 complex. (JCRB)",,,,,ATCC:CRL-2570
A3-KAW,SIDM00495,A3/Kawakami,Cell Line,Suspension,,,,,MSS,18.93333333,2.043815934,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00946,Haematopoietic and Lymphoid,Tumour,B-Cell Non-Hodgkin's Lymphoma,"('Diffuse Large B-Cell Lymphoma  (C8851)',)",68,,,,Unknown,,Ascites,,,,,,SIDP00846,Homo Sapiens,Female,East Asian,Unknown,,910935,ACH-000697,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1062,JCRB:JCRB0101
A375,SIDM00795,A375-MEL,Cell Line,Adherent,,,,,MSS,14.33333333,2.689861813,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00069,Skin,Tumour,Melanoma,"('Amelanotic Melanoma  (C3802)',)",54,,,,Unknown,,Skin,,,,,,SIDP00054,Homo Sapiens,Female,Unknown,Unknown,,906793,ACH-000219,A375_SKIN,CVCL_0132,ATCC:CRL-1619
A388,SIDM00794,,Cell Line,Adherent,,,,,MSS,9.6,2.031509935,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00070,Skin,Metastasis,Other Solid Carcinomas,"('Squamous Cell Carcinoma  (C2929)',)",86,,,,Unknown,,Lymph node,,,,,,SIDP00055,Homo Sapiens,Male,Unknown,Unknown,,910697,ACH-001442,A388_SKIN,CVCL_1063,ATCC:CRL-7905
A4-Fuk,SIDM00502,A4/Fukuda,Cell Line,Suspension,,,,,MSS,10.53333333,2.065849326,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00947,Haematopoietic and Lymphoid,Metastasis,B-Lymphoblastic Leukemia,"('Precursor B Lymphoblastic Leukemia  (C8644)',)",52,,,,Unknown,,Ascites,,,,,,SIDP00847,Homo Sapiens,Female,East Asian,Unknown,,910934,ACH-000157,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1064,JCRB:JCRB0097
A427,SIDM00810,,Cell Line,Adherent,,,,,MSS,11.9,3.126441891,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00071,Lung,Tumour,Lung Adenocarcinoma,"('Lung Adenocarcinoma  (C3512)',)",52,,,,Unknown,,Lung,,,,,,SIDP00056,Homo Sapiens,Male,White,Unknown,,910851,ACH-000757,A427_LUNG,CVCL_1055,ATCC:HTB-53
A431,SIDM00995,A431/P,Cell Line,Adherent,,,,,MSS,13.76666667,3.30172151,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00450,Vulva,Tumour,Other Solid Carcinomas,"('Vulvar Squamous Cell Carcinoma  (C4052)',)",85,,,,Unknown,,Unknown,,,,,,SIDP00387,Homo Sapiens,Female,Unknown,Unknown,,910925,ACH-001328,A431_SKIN,CVCL_0037,DSMZ:ACC-91
A498,SIDM00124,,Cell Line,Adherent,,,,,MSS,5.366666667,3.315826382,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00813,Kidney,Tumour,Kidney Carcinoma,"('Renal Cell Carcinoma  (C9385)',)",52,,,,Unknown,,Unknown,,,,,,SIDP00726,Homo Sapiens,Female,White,Unknown,,905948,ACH-000555,A498_KIDNEY,CVCL_1056,NCI:A498
A549,SIDM00903,NCI-A549;A549/ATCC;hA549,Cell Line,Adherent,,,,,MSS,8.633333333,2.761944611,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00075,Lung,Tumour,Lung Adenocarcinoma,"('Lung Adenocarcinoma  (C3512)',)",58,,,1972,Unknown,,Unknown,,,,,,SIDP00060,Homo Sapiens,Male,White,Unknown,JHU-028 has been shown to be cross contaminated with A549 (ICLAC).,905949,ACH-000681,A549_LUNG,CVCL_0023,NCI:A549
A673,SIDM00848,RMS 1598,Cell Line,Adherent,,,,,MSS,3.5,1.951436996,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00072,Bone,Tumour,Ewing's Sarcoma,"('Ewing s Sarcoma  (C4817)',)",15,,,,Unknown,,Muscle,,,,,,SIDP00057,Homo Sapiens,Female,Unknown,Unknown,,684052,ACH-000052,A673_BONE,CVCL_0080,ATCC:CRL-1598
A704,SIDM00849,,Cell Line,Unknown,,,,,MSS,10.3,1.961576632,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00073,Kidney,Tumour,Kidney Carcinoma,"('Renal Cell Carcinoma  (C9385)',)",,,,,Unknown,,Unknown,,,,,,SIDP00058,Homo Sapiens,Male,Unknown,Unknown,,910920,ACH-000429,A704_KIDNEY,CVCL_1065,ATCC:CRL-7911
ABC-1,SIDM00494,,Cell Line,Unknown,,,,,MSS,13.8,2.387710584,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00948,Lung,Metastasis,Lung Adenocarcinoma,"('Lung Adenocarcinoma  (C3512)',)",47,,,,Unknown,,Pleural effusion,,,,,,SIDP00848,Homo Sapiens,Male,Unknown,Unknown,,906791,ACH-000528,ABC1_LUNG,CVCL_1066,JCRB:JCRB0815
ACCS,SIDM01166,,Cell Line,Adherent,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00406,Bladder,Tumour,Bladder Carcinoma,"('Bladder Carcinoma  (C4912)',)",81,,,,Unknown,,Unknown,,,,,,SIDP00349,Homo Sapiens,Female,White,Unknown,ACCS has been shown to be a derivitive of T24 (PMID: 20143388).,,ACH-001011,ACCS_URINARY_TRACT,CVCL_6876,None:None
ACHN,SIDM00123,,Cell Line,Adherent,,,,,MSS,3.133333333,2.337792141,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00814,Kidney,Metastasis,Kidney Carcinoma,"('Papillary Renal Cell Carcinoma  (C6975)',)",22,,11,1979,Unknown,,Pleural Effusion,,,,,,SIDP00727,Homo Sapiens,Male,White,Unknown,,905950,ACH-000046,ACHN_KIDNEY,CVCL_1067,NCI:ACHN
ACN,SIDM00057,,Cell Line,Unknown,,,,,MSS,,3.806938105,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00746,Peripheral Nervous System,Tumour,Neuroblastoma,"('Neuroblastoma  (C3270)',)",,,,,Unknown,,Unknown,,,,,,SIDP00670,Homo Sapiens,Unknown,Unknown,Unknown,LN-464 and ACN share common ancestry (Sanger & Broad).,906803,ACH-002389,ACN_AUTONOMIC_GANGLIA,CVCL_1068,ICLC:HTL96020
AGR-ON,SIDM01249,,Cell Line,Suspension,,,,,,,,SIDM00121,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00816,Haematopoietic and Lymphoid,Tumour,T-Lymphoblastic Leukemia,"('Childhood Precursor T Lymphoblastic Leukemia  (C7953)',)",4,,,,Unknown,,Unknown,,,,,,SIDP00729,Homo Sapiens,Female,White,Unknown,"CEM/C1 is a camptothecin resistant derivative of the human T cell leukemia cell line CCRF CEM.
CEM/C2 is a multi drug resistant derivative of the human T cell leukemia cell line CCRF CEM.
AGR-ON is a derivative of CEM-AG, itself a derivative of CCRF-CEM, selected for ability to produce CSF (ATCC).",,,,,ATCC:CRL-8199
AGS,SIDM00850,,Cell Line,Adherent,,,,,MSS,25.2,2.094259233,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00074,Stomach,Tumour,Gastric Carcinoma,"('Gastric Adenocarcinoma  (C4004)',)",54,,,1979,None,,Stomach,,,,,,SIDP00059,Homo Sapiens,Female,White,Unknown,,906790,ACH-000880,AGS_STOMACH,CVCL_0139,ATCC:CRL-1739
ALL-PO,SIDM00211,,Cell Line,Suspension,,,,,MSS,6.833333333,2.522816975,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00591,Haematopoietic and Lymphoid,Tumour,B-Lymphoblastic Leukemia,"('B Acute Lymphoblastic Leukemia with t v 11q23 MLL Rearranged  (C80342)',)",0.33,,,,Unknown,,Unknown,,,,,,SIDP00523,Homo Sapiens,Female,Unknown,Unknown,,910944,ACH-002209,ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1069,ICLC:HTL01003
ALL-SIL,SIDM00994,SIL-ALL,Cell Line,Suspension,,,,,MSS,6.866666667,2.04827072,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00451,Haematopoietic and Lymphoid,Tumour,T-Lymphoblastic Leukemia,"('Childhood Precursor T Lymphoblastic Leukemia  (C7953)',)",17,,,,Unknown,,Peripheral Blood,,,,,,SIDP00388,Homo Sapiens,Male,Unknown,Unknown,,1295740,ACH-000105,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1805,DSMZ:ACC-511
AM-38,SIDM00492,,Cell Line,Unknown,,,,,MSS,12.3,3.235077179,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00949,Central Nervous System,Tumour,Glioblastoma,"('Glioblastoma  (C3058)',)",36,,,,Unknown,,Unknown,,,,,,SIDP00849,Homo Sapiens,Male,Unknown,Unknown,,910933,ACH-000269,AM38_CENTRAL_NERVOUS_SYSTEM,CVCL_1070,JCRB:IFO50492
AMO-1,SIDM00993,,Cell Line,Suspension,,,,,MSS,16.3,3.496529914,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00452,Haematopoietic and Lymphoid,Metastasis,Plasma Cell Myeloma,"('Plasma Cell Myeloma  (C3242)',)",64,,,1984,Unknown,,Ascites,,,,,,SIDP00389,Homo Sapiens,Female,Unknown,Unknown,,1295741,ACH-000838,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1806,DSMZ:ACC-538
AN3-CA,SIDM00901,,Cell Line,Adherent,,,,,MSI,68.83333333,2.170906977,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00077,Endometrium,Tumour,Endometrial Carcinoma,"('Endometrial Adenocarcinoma  (C7359)',)",55,,,,Unknown,,Endometrium,,,,,,SIDP00061,Homo Sapiens,Female,White,Unknown,,910781,ACH-000940,AN3CA_ENDOMETRIUM,CVCL_0028,ATCC:HTB-111
ARH-77,SIDM00900,,Cell Line,Suspension,,,,ARH-77 is a B-lymphoblastoid cell line (PMID: 12592342).,MSS,5,2.001440629,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00078,Haematopoietic and Lymphoid,Transformed,Non-Cancerous,"('Non Cancerous  (C41168)',)",33,,,,Unknown,,Peripheral Blood,,,,,,SIDP00062,Homo Sapiens,Female,White,Unknown,,906765,ACH-002210,ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1072,ATCC:CRL-1621
ASH-3,SIDM00491,,Cell Line,Adherent,,,,,MSS,14.56666667,2.90237828,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00950,Thyroid,Tumour,Thyroid Gland Carcinoma,"('Anaplastic Thyroid Carcinoma  (C3878)',)",68,,,,Unknown,,Neck,,,,,,SIDP00850,Homo Sapiens,Female,East Asian,Unknown,,1290722,ACH-001443,ASH3_THYROID,CVCL_2856,JCRB:JCRB1073
AsPC-1,SIDM00899,,Cell Line,Adherent,,,,,MSS,6.366666667,2.461243113,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00079,Pancreas,Metastasis,Pancreatic Carcinoma,"('Pancreatic Ductal Adenocarcinoma  (C9120)',)",62,,,,Unknown,,Ascites ,,,,,,SIDP00063,Homo Sapiens,Female,White,Unknown,,910702,ACH-000222,ASPC1_PANCREAS,CVCL_0152,ATCC:CRL-1682
ATN-1,SIDM00233,,Cell Line,Suspension,,,,,MSS,12.3,3.902689596,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00651,Haematopoietic and Lymphoid,Tumour,T-Lymphoblastic Leukemia,"('Adult Precursor T Lymphoblastic Leukemia  (C9142)',)",47,,,,Unknown,,Unknown,,,,,,SIDP00580,Homo Sapiens,Male,Unknown,Unknown,,910687,ACH-002058,ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1073,RIKEN:RCB1440
AU565,SIDM00898,,Cell Line,Adherent,,,,,MSS,12.9,3.614169561,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00080,Breast,Metastasis,Breast Carcinoma,"('Breast Adenocarcinoma  (C5214)',)",43,,,,Unknown,,Pleural Effusion,,,,,,SIDP00064,Homo Sapiens,Female,White,Unknown,AU565 and SK-BR-3 were derived from the same patient (ATCC).,910704,ACH-000248,AU565_BREAST,CVCL_1074,ATCC:CRL-2351
B-CPAP,SIDM00992,,Cell Line,Adherent,,,,,MSS,7.966666667,2.966329712,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00453,Thyroid,Tumour,Thyroid Gland Carcinoma,"('Papillary Thyroid Carcinoma  (C4035)',)",76,,,1992,Unknown,,Unknown,,,,,,SIDP00390,Homo Sapiens,Female,Unknown,Unknown,,924104,ACH-000456,BCPAP_THYROID,CVCL_0153,DSMZ:ACC-273
B2-17,SIDM00110,,Cell Line,Adherent,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00866,Central Nervous System,Tumour,Low Grade Glioma,"('Astrocytoma  (C60781)',)",,,,,Unknown,,Neural,,,,,,SIDP00772,Homo Sapiens,Unknown,Unknown,Unknown,"B2-17 has been shown to be a derivitive of U251.
SNB19 has been shown to be a derivitive of U251 (ICLAC).",,,,,JCRB:IFO50361
